	¥Õ¾í	¯¬¾í
	37	42
	37	63
	37	63
	38	71
	39	52
	39	52
	39	60
	39	46
	39	58
	40	60
	41	55
	41	63
	41	47
	42	52
	42	51
	42	53
	42	55
	42	54
	42	59
	42	64
	43	60
	43	60
	43	50
	43	49
	43	55
	43	67
	43	59
	43	59
	43	49
	44	49
	44	57
	44	58
	44	59
	44	71
	44	59
	45	61
	45	53
	45	55
	45	60
	45	54
	45	59
	46	58
	46	64
	46	65
	46	43
	46	54
	46	49
	46	58
	46	63
	46	52
	47	50
	47	50
	47	57
	47	43
	47	59
	47	61
	47	50
	47	55
	47	51
	48	56
	48	61
	48	53
	48	52
	48	54
	48	51
	48	54
	49	56
	49	54
	49	48
	49	54
	49	62
	49	58
	50	59
	50	46
	50	61
	50	54
	51	57
	51	48
	51	50
	51	64
	51	58
	51	48
	52	58
	52	61
	52	51
	53	54
	53	61
	53	65
	53	67
	53	53
	53	47
	54	55
	54	51
	55	64
	55	56
	55	60
	55	63
	56	60
	56	65
	62	47
		
Average	46.71	56.01
Max	62	71
Min	37	42
